Artists,Name,Weekly rank,Peak position,Weeks on chart,Week
"gnash, Olivia O'Brien",I Hate U I Love U,14,10,32,2016-12-10
Alessia Cara,Scars To Your Beautiful,15,15,13,2016-12-10
"Major Lazer, Justin Bieber, MO",Cold Water,16,2,18,2016-12-10
Shawn Mendes,Treat You Better,17,6,25,2016-12-10
"Sia, Kendrick Lamar",The Greatest,18,18,12,2016-12-10
Justin Timberlake,Can't Stop The Feeling!,19,1,29,2016-12-10
X Ambassadors,Unsteady,20,20,28,2016-12-10
"Sia, Sean Paul",Cheap Thrills,21,1,41,2016-12-10
Young M.A,OOOUUU,22,19,13,2016-12-10
"The Chainsmokers, Daya",Don't Let Me Down,23,3,41,2016-12-10
"Martin Garrix, Bebe Rexha",In The Name Of Love,24,24,15,2016-12-10
Keith Urban,Blue Ain't Your Color,25,24,11,2016-12-10
"Calvin Harris, Rihanna",This Is What You Came For,26,3,30,2016-12-10
"DJ Khaled, Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future",Do You Mind,27,27,16,2016-12-10
"Machine Gun Kelly, Camila Cabello",Bad Things,28,28,4,2016-12-10
Niall Horan,This Town,29,25,9,2016-12-10
"Rob $tone, J. Davi$, Spooks",Chill Bill,30,29,17,2016-12-10
twenty one pilots,Ride,31,5,37,2016-12-10
Jon Bellion,All Time Low,32,32,7,2016-12-10
"Florida Georgia Line, Tim McGraw",May We All,33,30,13,2016-12-10
Rihanna,Love On The Brain,34,34,6,2016-12-10
Shawn Mendes,Mercy,35,35,10,2016-12-10
"21 Savage, Metro Boomin, Future",X,36,36,11,2016-12-10
"Drake, WizKid, Kyla",One Dance,37,1,34,2016-12-10
Rihanna,Needed Me,38,7,43,2016-12-10
The Weeknd,Party Monster,39,,,2016-12-10
"Future, Drake",Used To This,40,14,3,2016-12-10
Kiiara,Gold,41,13,27,2016-12-10
"Lil Wayne, Wiz Khalifa, Imagine Dragons With Logic, Ty Dolla $ign Feat.",Sucker For Pain,42,15,22,2016-12-10
John Legend,Love Me Now,43,41,5,2016-12-10
Desiigner,Panda,44,1,40,2016-12-10
Desiigner,Tiimmy Turner,45,34,18,2016-12-10
Tory Lanez,Luv,46,19,22,2016-12-10
Brett Young,Sleep Without You,47,47,11,2016-12-10
"The Weeknd, Daft Punk",I Feel It Coming,48,,,2016-12-10
"Young Thug, Travis Scott, Quavo",Pick Up The Phone,49,43,15,2016-12-10
"Drake, 21 Savage",Sneakin',50,28,5,2016-12-10
Big Sean,Bounce Back,51,51,3,2016-12-10
Lil Uzi Vert,You Was Right,52,52,20,2016-12-10
John Mayer,Love On The Weekend,53,,,2016-12-10
"Migos, Lil Uzi Vert",Bad And Boujee,54,54,2,2016-12-10
Lil Yachty,1 Night,55,49,16,2016-12-10
"PARTYNEXTDOOR, Drake",Come And See Me,56,55,21,2016-12-10
Brett Eldredge,Wanna Be That Song,57,57,8,2016-12-10
Cole Swindell,Middle Of A Memory,58,46,18,2016-12-10
Andy Grammer,Fresh Eyes,59,59,8,2016-12-10
Old Dominion,Song For Another Time,60,60,9,2016-12-10
"21 Savage, Metro Boomin",No Heart,61,57,5,2016-12-10
"DJ ESCO, Future, Lil Uzi Vert",Too Much Sauce,62,61,14,2016-12-10
"Fitz, The Tantrums",HandClap,63,63,9,2016-12-10
Jason Aldean,A Little More Summertime,64,52,12,2016-12-10
Pentatonix,Hallelujah,65,32,5,2016-12-10
"The Chainsmokers, Phoebe Ryan",All We Know,66,18,8,2016-12-10
"Kenny Chesney, P!nk",Setting The World On Fire,67,29,17,2016-12-10
James Arthur,Say You Won't Let Go,68,68,5,2016-12-10
Little Big Town,Better Man,69,53,4,2016-12-10
Carrie Underwood,Dirty Laundry,70,69,6,2016-12-10
Kanye West,Fade,71,47,12,2016-12-10
Rae Sremmurd,Look Alive,72,72,5,2016-12-10
Fifth Harmony,That's My Girl,73,,,2016-12-10
Calvin Harris,My Way,74,24,10,2016-12-10
Childish Gambino,Redbone,75,,,2016-12-10
Zara Larsson,Ain't My Fault,76,76,7,2016-12-10
"Shakira, Maluma",Chantaje,77,77,2,2016-12-10
Luke Bryan,Move,78,50,14,2016-12-10
Bruno Mars,That's What I Like,79,,,2016-12-10
Adele,Water Under The Bridge,80,70,3,2016-12-10
PnB Rock,Selfish,81,81,3,2016-12-10
Thomas Rhett,Star Of The Show,82,82,4,2016-12-10
Russ,What They Want,83,83,5,2016-12-10
"Frenship, Emily Warren",Capsize,84,78,9,2016-12-10
"YFN Lucci, Migos, Trouble",Key To The Streets,85,70,10,2016-12-10
"Britney Spears, Tinashe",Slumber Party,86,,,2016-12-10
Tim McGraw,How I'll Always Be,87,87,6,2016-12-10
Miranda Lambert,Vice,88,47,19,2016-12-10
"Meek Mill, Tory Lanez",Litty,89,49,4,2016-12-10
PIKOTARO,PPAP,90,77,4,2016-12-10
Train,Play That Song,91,,,2016-12-10
Blake Shelton,A Guy With A Girl,92,92,2,2016-12-10
A Boogie Wit da Hoodie,My Sh*t,93,89,6,2016-12-10
"Eric Church, Rhiannon Giddens",Kill A Word,94,94,2,2016-12-10
Rihanna,Sex With Me,95,92,5,2016-12-10
"Pitbull, Flo Rida, LunchMoney Lewis",Greenlight,96,95,4,2016-12-10
Eminem,Infinite,97,,,2016-12-10
Bruno Mars,Versace On The Floor,98,,,2016-12-10
Chris Stapleton,Parachute,99,,,2016-12-10
Maren Morris,80s Mercedes,100,90,6,2016-12-10
"Rae Sremmurd, Gucci Mane",Black Beatles,1,1,0,2016-12-03
"The Weeknd, Daft Punk",Starboy,3,2,9,2016-12-03
"Ariana Grande, Nicki Minaj",Side To Side,4,4,12,2016-12-03
twenty one pilots,Heathens,5,2,22,2016-12-03
Bruno Mars,24K Magic,6,5,6,2016-12-03
"DJ Snake, Justin Bieber",Let Me Love You,7,4,15,2016-12-03
"Zay Hilfigerrr, Zayion McCall",Juju On That Beat,8,8,8,2016-12-03
"D.R.A.M., Lil Yachty",Broccoli,9,5,23,2016-12-03
"Maroon 5, Kendrick Lamar",Don't Wanna Know,10,9,6,2016-12-03
"gnash, Olivia O'Brien",I Hate U I Love U,11,10,31,2016-12-03
Amine,Caroline,12,12,11,2016-12-03
"Major Lazer, Justin Bieber, MO",Cold Water,13,2,17,2016-12-03
Drake,Fake Love,14,10,4,2016-12-03
"Hailee Steinfeld, Grey, Zedd",Starving,15,14,16,2016-12-03
Shawn Mendes,Treat You Better,16,6,24,2016-12-03
Alessia Cara,Scars To Your Beautiful,17,17,12,2016-12-03
Justin Timberlake,Can't Stop The Feeling!,18,1,28,2016-12-03
"Sia, Sean Paul",Cheap Thrills,19,1,40,2016-12-03
"Sia, Kendrick Lamar",The Greatest,20,19,11,2016-12-03
X Ambassadors,Unsteady,21,21,27,2016-12-03
Young M.A,OOOUUU,22,19,12,2016-12-03
"The Chainsmokers, Daya",Don't Let Me Down,23,3,40,2016-12-03
Keith Urban,Blue Ain't Your Color,24,24,10,2016-12-03
"Calvin Harris, Rihanna",This Is What You Came For,25,3,29,2016-12-03
"Martin Garrix, Bebe Rexha",In The Name Of Love,26,26,14,2016-12-03
Kiiara,Gold,27,13,26,2016-12-03
twenty one pilots,Ride,28,5,36,2016-12-03
"Rob $tone, J. Davi$, Spooks",Chill Bill,29,29,16,2016-12-03
"Florida Georgia Line, Tim McGraw",May We All,30,30,12,2016-12-03
"Future, Drake",Used To This,31,14,2,2016-12-03
Rihanna,Needed Me,32,7,42,2016-12-03
"Drake, WizKid, Kyla",One Dance,33,1,33,2016-12-03
"DJ Khaled, Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future",Do You Mind,34,34,15,2016-12-03
Jon Bellion,All Time Low,35,35,6,2016-12-03
"21 Savage, Metro Boomin, Future",X,36,36,10,2016-12-03
"Lil Wayne, Wiz Khalifa, Imagine Dragons With Logic, Ty Dolla $ign Feat.",Sucker For Pain,37,15,21,2016-12-03
Desiigner,Tiimmy Turner,38,34,17,2016-12-03
Adele,Send My Love,39,8,27,2016-12-03
Tory Lanez,Luv,40,19,21,2016-12-03
John Legend,Love Me Now,41,41,4,2016-12-03
Desiigner,Panda,42,1,39,2016-12-03
"Chance The Rapper, Lil Wayne, 2 Chainz",No Problem,43,43,26,2016-12-03
"Drake, 21 Savage",Sneakin',44,28,4,2016-12-03
"Young Thug, Travis Scott, Quavo",Pick Up The Phone,45,43,14,2016-12-03
"Machine Gun Kelly, Camila Cabello",Bad Things,46,46,3,2016-12-03
Shawn Mendes,Mercy,47,47,9,2016-12-03
"Drake, Rihanna",Too Good,48,14,29,2016-12-03
"Charlie Puth, Selena Gomez",We Don't Talk Anymore,49,9,24,2016-12-03
Rihanna,Love On The Brain,50,50,5,2016-12-03
Brett Young,Sleep Without You,51,51,10,2016-12-03
Cole Swindell,Middle Of A Memory,52,46,17,2016-12-03
Lil Yachty,1 Night,53,49,15,2016-12-03
Jason Aldean,A Little More Summertime,54,52,11,2016-12-03
"PARTYNEXTDOOR, Drake",Come And See Me,55,55,20,2016-12-03
Pentatonix,Hallelujah,56,32,4,2016-12-03
Lil Uzi Vert,You Was Right,57,57,19,2016-12-03
"Kenny Chesney, P!nk",Setting The World On Fire,58,29,16,2016-12-03
Leonard Cohen,Hallelujah,59,,,2016-12-03
Big Sean,Bounce Back,60,60,2,2016-12-03
Niall Horan,This Town,61,25,8,2016-12-03
Old Dominion,Song For Another Time,62,62,8,2016-12-03
"DJ ESCO, Future, Lil Uzi Vert",Too Much Sauce,63,61,13,2016-12-03
Brett Eldredge,Wanna Be That Song,64,64,7,2016-12-03
"21 Savage, Metro Boomin",No Heart,65,57,4,2016-12-03
Kanye West,Fade,66,47,11,2016-12-03
Andy Grammer,Fresh Eyes,67,67,7,2016-12-03
"The Chainsmokers, Phoebe Ryan",All We Know,68,18,7,2016-12-03
Childish Gambino,Me And Your Mama,69,,,2016-12-03
Little Big Town,Better Man,70,53,3,2016-12-03
Carrie Underwood,Dirty Laundry,71,69,5,2016-12-03
Rae Sremmurd,Look Alive,72,72,4,2016-12-03
Luke Bryan,Move,73,50,13,2016-12-03
Calvin Harris,My Way,74,24,9,2016-12-03
James Arthur,Say You Won't Let Go,75,75,4,2016-12-03
"Migos, Lil Uzi Vert",Bad And Boujee,76,,,2016-12-03
A Tribe Called Quest,We The People....,77,,,2016-12-03
"Fitz, The Tantrums",HandClap,78,67,8,2016-12-03
Zara Larsson,Ain't My Fault,79,79,6,2016-12-03
"Frenship, Emily Warren",Capsize,80,78,8,2016-12-03
"YFN Lucci, Migos, Trouble",Key To The Streets,81,70,9,2016-12-03
Thomas Rhett,Star Of The Show,82,82,3,2016-12-03
Russ,What They Want,83,83,4,2016-12-03
Miranda Lambert,Vice,84,47,18,2016-12-03
"Meek Mill, Tory Lanez",Litty,85,49,3,2016-12-03
"The Chainsmokers, XYLO",Setting Fires,86,71,2,2016-12-03
PnB Rock,Selfish,87,87,2,2016-12-03
Tim McGraw,How I'll Always Be,88,88,5,2016-12-03
A Boogie Wit da Hoodie,My Sh*t,89,89,5,2016-12-03
Maren Morris,80s Mercedes,90,90,5,2016-12-03
Billy Currington,It Don't Hurt Like It Used To,91,44,17,2016-12-03
Rihanna,Sex With Me,92,92,4,2016-12-03
PIKOTARO,PPAP,93,77,3,2016-12-03
Adele,Water Under The Bridge,94,70,2,2016-12-03
Little Mix,Shout Out To My Ex,95,69,3,2016-12-03
"Pitbull, Flo Rida, LunchMoney Lewis",Greenlight,96,95,3,2016-12-03
Blake Shelton,A Guy With A Girl,97,,,2016-12-03
"DJ Drama, Chris Brown, Skeme, Lyquin",Wishing,98,77,14,2016-12-03
Starley,Call On Me,99,,,2016-12-03
Travis Scott,Goosebumps,100,91,7,2016-12-03
"Rae Sremmurd, Gucci Mane",Black Beatles,1,1,9,2016-11-26
"The Weeknd, Daft Punk",Starboy,3,2,8,2016-11-26
twenty one pilots,Heathens,4,2,21,2016-11-26
"DJ Snake, Justin Bieber",Let Me Love You,5,4,14,2016-11-26
Bruno Mars,24K Magic,6,5,5,2016-11-26
"Ariana Grande, Nicki Minaj",Side To Side,7,6,11,2016-11-26
"Zay Hilfigerrr, Zayion McCall",Juju On That Beat,8,8,7,2016-11-26
"D.R.A.M., Lil Yachty",Broccoli,9,5,22,2016-11-26
"Maroon 5, Kendrick Lamar",Don't Wanna Know,10,9,5,2016-11-26
"gnash, Olivia O'Brien",I Hate U I Love U,11,10,30,2016-11-26
"Major Lazer, Justin Bieber, MO",Cold Water,12,2,16,2016-11-26
Shawn Mendes,Treat You Better,13,6,23,2016-11-26
"Future, Drake",Used To This,14,,,2016-11-26
"Sia, Sean Paul",Cheap Thrills,15,1,39,2016-11-26
Justin Timberlake,Can't Stop The Feeling!,16,1,27,2016-11-26
Drake,Fake Love,17,10,3,2016-11-26
Amine,Caroline,18,18,10,2016-11-26
"Hailee Steinfeld, Grey, Zedd",Starving,19,14,15,2016-11-26
Young M.A,OOOUUU,20,19,11,2016-11-26
"Sia, Kendrick Lamar",The Greatest,21,19,10,2016-11-26
Alessia Cara,Scars To Your Beautiful,22,22,11,2016-11-26
"The Chainsmokers, Daya",Don't Let Me Down,23,3,39,2016-11-26
Kiiara,Gold,24,13,25,2016-11-26
X Ambassadors,Unsteady,25,25,26,2016-11-26
Keith Urban,Blue Ain't Your Color,26,25,9,2016-11-26
"Calvin Harris, Rihanna",This Is What You Came For,27,3,28,2016-11-26
twenty one pilots,Ride,28,5,35,2016-11-26
"Rob $tone, J. Davi$, Spooks",Chill Bill,29,29,15,2016-11-26
"Florida Georgia Line, Tim McGraw",May We All,30,30,11,2016-11-26
"Martin Garrix, Bebe Rexha",In The Name Of Love,31,31,13,2016-11-26
"Drake, WizKid, Kyla",One Dance,32,1,32,2016-11-26
Adele,Send My Love,33,8,26,2016-11-26
Rihanna,Needed Me,34,7,41,2016-11-26
"Lil Wayne, Wiz Khalifa, Imagine Dragons With Logic, Ty Dolla $ign Feat.",Sucker For Pain,35,15,20,2016-11-26
Desiigner,Tiimmy Turner,36,34,16,2016-11-26
"21 Savage, Metro Boomin, Future",X,37,37,9,2016-11-26
Daya,"Sit Still, Look Pretty",38,28,24,2016-11-26
"DJ Khaled, Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future",Do You Mind,39,39,14,2016-11-26
Tory Lanez,Luv,40,19,20,2016-11-26
Desiigner,Panda,41,1,38,2016-11-26
Jon Bellion,All Time Low,42,42,5,2016-11-26
"Drake, 21 Savage",Sneakin',43,28,3,2016-11-26
"Charlie Puth, Selena Gomez",We Don't Talk Anymore,44,9,23,2016-11-26
"Drake, Rihanna",Too Good,45,14,28,2016-11-26
"Chance The Rapper, Lil Wayne, 2 Chainz",No Problem,46,43,25,2016-11-26
Cole Swindell,Middle Of A Memory,47,46,16,2016-11-26
"Kenny Chesney, P!nk",Setting The World On Fire,48,29,15,2016-11-26
Lil Yachty,1 Night,49,49,14,2016-11-26
"Young Thug, Travis Scott, Quavo",Pick Up The Phone,50,43,13,2016-11-26
Brett Young,Sleep Without You,51,51,9,2016-11-26
Jason Aldean,A Little More Summertime,52,52,10,2016-11-26
Little Big Town,Better Man,53,53,2,2016-11-26
Luke Bryan,Move,54,50,12,2016-11-26
Calvin Harris,My Way,55,24,8,2016-11-26
"PARTYNEXTDOOR, Drake",Come And See Me,56,56,19,2016-11-26
"21 Savage, Metro Boomin",No Heart,57,57,3,2016-11-26
Shawn Mendes,Mercy,58,58,8,2016-11-26
Lil Uzi Vert,You Was Right,59,59,18,2016-11-26
"The Chainsmokers, Phoebe Ryan",All We Know,60,18,6,2016-11-26
Big Sean,Bounce Back,61,,,2016-11-26
Lil Uzi Vert,Money Longer,62,54,22,2016-11-26
Old Dominion,Song For Another Time,63,63,7,2016-11-26
Niall Horan,This Town,64,25,7,2016-11-26
Rihanna,Love On The Brain,65,65,4,2016-11-26
John Legend,Love Me Now,66,55,3,2016-11-26
Kanye West,Fade,67,47,10,2016-11-26
"DJ ESCO, Future, Lil Uzi Vert",Too Much Sauce,68,61,12,2016-11-26
"Usher, Young Thug",No Limit,69,32,20,2016-11-26
Miranda Lambert,Vice,70,47,17,2016-11-26
"The Chainsmokers, XYLO",Setting Fires,71,,,2016-11-26
Carrie Underwood,Dirty Laundry,72,69,4,2016-11-26
"Machine Gun Kelly, Camila Cabello",Bad Things,73,73,2,2016-11-26
Brett Eldredge,Wanna Be That Song,74,72,6,2016-11-26
Andy Grammer,Fresh Eyes,75,74,6,2016-11-26
Rae Sremmurd,Look Alive,76,76,3,2016-11-26
"YFN Lucci, Migos, Trouble",Key To The Streets,77,70,8,2016-11-26
"Fitz, The Tantrums",HandClap,78,67,7,2016-11-26
"Meek Mill, Tory Lanez",Litty,79,49,2,2016-11-26
James Arthur,Say You Won't Let Go,80,80,3,2016-11-26
Pentatonix,Hallelujah,81,32,3,2016-11-26
PIKOTARO,PPAP,82,77,2,2016-11-26
Zara Larsson,Ain't My Fault,83,83,5,2016-11-26
Russ,What They Want,84,84,3,2016-11-26
"Frenship, Emily Warren",Capsize,85,78,7,2016-11-26
Billy Currington,It Don't Hurt Like It Used To,86,44,16,2016-11-26
PnB Rock,Selfish,87,,,2016-11-26
Tim McGraw,How I'll Always Be,88,88,4,2016-11-26
Thomas Rhett,Star Of The Show,89,88,2,2016-11-26
A Boogie Wit da Hoodie,My Sh*t,90,90,4,2016-11-26
Maren Morris,80s Mercedes,91,91,4,2016-11-26
LOCASH,I Know Somebody,92,52,11,2016-11-26
"The Game, Jeremih",All Eyez,93,79,5,2016-11-26
"DJ Drama, Chris Brown, Skeme, Lyquin",Wishing,94,77,13,2016-11-26
Dae Dae,Wat U Mean,95,66,17,2016-11-26
Lady Gaga,Million Reasons,96,57,4,2016-11-26
"Pitbull, Flo Rida, LunchMoney Lewis",Greenlight,97,95,2,2016-11-26
"Eric Church, Rhiannon Giddens",Kill A Word,98,,,2016-11-26
Beyonce,Hold Up,99,13,14,2016-11-26
Kehlani,Gangsta,100,41,12,2016-11-26
"The Chainsmokers, Halsey",Closer,1,1,4,2016-11-19
twenty one pilots,Heathens,3,2,20,2016-11-19
"DJ Snake, Justin Bieber",Let Me Love You,4,4,13,2016-11-19
"D.R.A.M., Lil Yachty",Broccoli,5,5,21,2016-11-19
"Ariana Grande, Nicki Minaj",Side To Side,6,6,10,2016-11-19
Bruno Mars,24K Magic,7,5,4,2016-11-19
"Zay Hilfigerrr, Zayion McCall",Juju On That Beat,8,8,6,2016-11-19
"Rae Sremmurd, Gucci Mane",Black Beatles,9,9,8,2016-11-19
Drake,Fake Love,10,10,2,2016-11-19
"Maroon 5, Kendrick Lamar",Don't Wanna Know,11,9,4,2016-11-19
"Major Lazer, Justin Bieber, MO",Cold Water,12,2,15,2016-11-19
"gnash, Olivia O'Brien",I Hate U I Love U,13,10,29,2016-11-19
Shawn Mendes,Treat You Better,14,6,22,2016-11-19
"Sia, Sean Paul",Cheap Thrills,15,1,38,2016-11-19
Kiiara,Gold,16,13,24,2016-11-19
"The Chainsmokers, Daya",Don't Let Me Down,17,3,38,2016-11-19
"Hailee Steinfeld, Grey, Zedd",Starving,18,14,14,2016-11-19
Young M.A,OOOUUU,19,19,10,2016-11-19
"Sia, Kendrick Lamar",The Greatest,20,19,9,2016-11-19
Amine,Caroline,21,21,9,2016-11-19
Justin Timberlake,Can't Stop The Feeling!,22,1,26,2016-11-19
"Calvin Harris, Rihanna",This Is What You Came For,23,3,27,2016-11-19
Alessia Cara,Scars To Your Beautiful,24,24,10,2016-11-19
Keith Urban,Blue Ain't Your Color,25,25,8,2016-11-19
twenty one pilots,Ride,26,5,34,2016-11-19
X Ambassadors,Unsteady,27,26,25,2016-11-19
"Drake, 21 Savage",Sneakin',28,28,2,2016-11-19
"Kenny Chesney, P!nk",Setting The World On Fire,29,29,14,2016-11-19
"Drake, WizKid, Kyla",One Dance,30,1,31,2016-11-19
Adele,Send My Love,31,8,25,2016-11-19
Rihanna,Needed Me,32,7,40,2016-11-19
"Lil Wayne, Wiz Khalifa, Imagine Dragons With Logic, Ty Dolla $ign Feat.",Sucker For Pain,33,15,19,2016-11-19
Tory Lanez,Luv,34,19,19,2016-11-19
"Rob $tone, J. Davi$, Spooks",Chill Bill,35,35,14,2016-11-19
Daya,"Sit Still, Look Pretty",36,28,23,2016-11-19
"Drake, Rihanna",Too Good,37,14,27,2016-11-19
Desiigner,Tiimmy Turner,38,34,15,2016-11-19
"Martin Garrix, Bebe Rexha",In The Name Of Love,39,39,12,2016-11-19
"Florida Georgia Line, Tim McGraw",May We All,40,40,10,2016-11-19
Coldplay,Hymn For The Weekend,41,25,23,2016-11-19
Calvin Harris,My Way,42,24,7,2016-11-19
Desiigner,Panda,43,1,37,2016-11-19
"Charlie Puth, Selena Gomez",We Don't Talk Anymore,44,9,22,2016-11-19
"DJ Khaled, Nicki Minaj, Chris Brown, August Alsina, Jeremih,",Do You Mind,45,45,13,2016-11-19
"Chance The Rapper, Lil Wayne, 2 Chainz",No Problem,46,43,24,2016-11-19
"21 Savage, Metro Boomin, Future",X,47,47,8,2016-11-19
Cole Swindell,Middle Of A Memory,48,46,15,2016-11-19
"Meek Mill, Tory Lanez",Litty,49,,,2016-11-19
Luke Bryan,Move,50,50,11,2016-11-19
Lil Yachty,1 Night,51,51,13,2016-11-19
"Young Thug, Travis Scott, Quavo",Pick Up The Phone,52,43,12,2016-11-19
Jon Bellion,All Time Low,53,53,4,2016-11-19
Little Big Town,Better Man,54,,,2016-11-19
Jason Aldean,A Little More Summertime,55,55,9,2016-11-19
Brett Young,Sleep Without You,56,56,8,2016-11-19
Lady Gaga,Million Reasons,57,57,3,2016-11-19
Miranda Lambert,Vice,58,47,16,2016-11-19
"The Chainsmokers, Phoebe Ryan",All We Know,59,18,5,2016-11-19
Lil Uzi Vert,Money Longer,60,54,21,2016-11-19
"DJ ESCO, Future, Lil Uzi Vert",Too Much Sauce,61,61,11,2016-11-19
"Usher, Young Thug",No Limit,62,32,19,2016-11-19
"PARTYNEXTDOOR, Drake",Come And See Me,63,60,18,2016-11-19
Kanye West,Fade,64,47,9,2016-11-19
Niall Horan,This Town,65,25,6,2016-11-19
Old Dominion,Song For Another Time,66,66,6,2016-11-19
Lil Uzi Vert,You Was Right,67,67,17,2016-11-19
"Meek Mill, Lil Uzi Vert, Nicki Minaj",Froze,68,,,2016-11-19
Carrie Underwood,Dirty Laundry,69,69,3,2016-11-19
"Meek Mill, Young Thug, 21 Savage",Offended,70,,,2016-11-19
"21 Savage, Metro Boomin",No Heart,71,71,2,2016-11-19
Brett Eldredge,Wanna Be That Song,72,72,5,2016-11-19
Drake,"Two Birds, One Stone",73,,,2016-11-19
Rihanna,Love On The Brain,74,74,3,2016-11-19
Meek Mill,On The Regular,75,,,2016-11-19
"YFN Lucci, Migos, Trouble",Key To The Streets,76,70,7,2016-11-19
Pentatonix,Hallelujah,77,32,2,2016-11-19
"Fitz, The Tantrums",HandClap,78,67,6,2016-11-19
Andy Grammer,Fresh Eyes,79,74,5,2016-11-19
Shawn Mendes,Mercy,80,68,7,2016-11-19
Billy Currington,It Don't Hurt Like It Used To,81,44,15,2016-11-19
LOCASH,I Know Somebody,82,52,10,2016-11-19
"Frenship, Emily Warren",Capsize,83,78,6,2016-11-19
"Meek Mill, Quavo",The Difference,84,,,2016-11-19
James Arthur,Say You Won't Let Go,85,85,2,2016-11-19
Little Mix,Shout Out To My Ex,86,69,2,2016-11-19
"The Game, Jeremih",All Eyez,87,79,4,2016-11-19
Thomas Rhett,Star Of The Show,88,,,2016-11-19
Tim McGraw,How I'll Always Be,89,89,3,2016-11-19
Zara Larsson,Ain't My Fault,90,85,4,2016-11-19
"DJ Drama, Chris Brown, Skeme, Lyquin",Wishing,91,77,12,2016-11-19
Maren Morris,80s Mercedes,92,92,3,2016-11-19
Meek Mill,Blue Notes,93,,,2016-11-19
A Boogie Wit da Hoodie,My Sh*t,94,92,3,2016-11-19
Russ,What They Want,95,95,2,2016-11-19
"Shakira, Maluma",Chantaje,96,,,2016-11-19
Meek Mill,Blessed Up,97,,,2016-11-19
John Legend,Love Me Now,98,55,2,2016-11-19
Dae Dae,Wat U Mean,99,66,16,2016-11-19
Tove Lo,Cool Girl,100,84,5,2016-11-19
"The Chainsmokers, Halsey",Closer,1,1,3,2016-11-12
twenty one pilots,Heathens,3,2,19,2016-11-12
"DJ Snake, Justin Bieber",Let Me Love You,4,4,12,2016-11-12
"D.R.A.M., Lil Yachty",Broccoli,5,5,20,2016-11-12
Bruno Mars,24K Magic,6,5,3,2016-11-12
"Ariana Grande, Nicki Minaj",Side To Side,7,7,9,2016-11-12
"Major Lazer, Justin Bieber, MO",Cold Water,8,2,14,2016-11-12
"Zay Hilfigerrr, Zayion McCall",Juju On That Beat,9,9,5,2016-11-12
"gnash, Olivia O'Brien",I Hate U I Love U,10,10,28,2016-11-12
Shawn Mendes,Treat You Better,11,6,21,2016-11-12
"Sia, Sean Paul",Cheap Thrills,12,1,37,2016-11-12
"Maroon 5, Kendrick Lamar",Don't Wanna Know,13,9,3,2016-11-12
"Hailee Steinfeld, Grey, Zedd",Starving,14,14,13,2016-11-12
Kiiara,Gold,15,13,23,2016-11-12
"Rae Sremmurd, Gucci Mane",Black Beatles,16,16,7,2016-11-12
"The Chainsmokers, Daya",Don't Let Me Down,17,3,37,2016-11-12
"Calvin Harris, Rihanna",This Is What You Came For,18,3,26,2016-11-12
"Sia, Kendrick Lamar",The Greatest,19,19,8,2016-11-12
twenty one pilots,Ride,20,5,33,2016-11-12
Justin Timberlake,Can't Stop The Feeling!,21,1,25,2016-11-12
Young M.A,OOOUUU,22,21,9,2016-11-12
"Drake, WizKid, Kyla",One Dance,23,1,30,2016-11-12
Drake,Fake Love,24,,,2016-11-12
Amine,Caroline,25,25,8,2016-11-12
Adele,Send My Love,26,8,24,2016-11-12
X Ambassadors,Unsteady,27,26,24,2016-11-12
Rihanna,Needed Me,28,7,39,2016-11-12
Tory Lanez,Luv,29,19,18,2016-11-12
Alessia Cara,Scars To Your Beautiful,30,30,9,2016-11-12
"Lil Wayne, Wiz Khalifa, Imagine Dragons With Logic, Ty Dolla $ign Feat.",Sucker For Pain,31,15,18,2016-11-12
Pentatonix,Hallelujah,32,,,2016-11-12
"Drake, Rihanna",Too Good,33,14,26,2016-11-12
Daya,"Sit Still, Look Pretty",34,28,22,2016-11-12
"Charlie Puth, Selena Gomez",We Don't Talk Anymore,35,9,21,2016-11-12
Coldplay,Hymn For The Weekend,36,25,22,2016-11-12
Desiigner,Tiimmy Turner,37,34,14,2016-11-12
"Drake, 21 Savage",Sneakin',38,,,2016-11-12
"Kenny Chesney, P!nk",Setting The World On Fire,39,29,13,2016-11-12
"Rob $tone, J. Davi$, Spooks",Chill Bill,40,39,13,2016-11-12
Calvin Harris,My Way,41,24,6,2016-11-12
Keith Urban,Blue Ain't Your Color,42,40,7,2016-11-12
Desiigner,Panda,43,1,36,2016-11-12
"Martin Garrix, Bebe Rexha",In The Name Of Love,44,39,11,2016-11-12
Ariana Grande,Into You,45,13,24,2016-11-12
"Chance The Rapper, Lil Wayne, 2 Chainz",No Problem,46,43,23,2016-11-12
"Florida Georgia Line, Tim McGraw",May We All,47,47,9,2016-11-12
Cole Swindell,Middle Of A Memory,48,46,14,2016-11-12
Drake,Controlla,49,16,26,2016-11-12
"21 Savage, Metro Boomin, Future",X,50,50,7,2016-11-12
Luke Bryan,Move,51,51,10,2016-11-12
"DJ Khaled, Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future",Do You Mind,52,48,12,2016-11-12
Lil Yachty,1 Night,53,52,12,2016-11-12
"Young Thug, Travis Scott, Quavo",Pick Up The Phone,54,43,11,2016-11-12
"The Chainsmokers, Phoebe Ryan",All We Know,55,18,4,2016-11-12
