"","Artists","Name","Weeks.on.chart","Peak.position","Week","Weekly.rank","Date","Genre","Writing.Credits","Lyrics","Songwriter","ID"
"210","Calvin Harris, Kehlani, Lil Yachty","Faking It",4,94,"2017-12-30",100,"June 30, 2017","Quality Control Music, HBK, Columbia Records, Rap, Dance, Pop","Calvin harris","Faking It 
Pray to God, but I'm feeling like he's going deaf
Now when I lean on you and I got nothing left
Hey, I've been wanting to call ya, tell you that I'm sorry
Same old fucking story everybody sing
And I say I'm okay, but I guess I'm a liar
You say you're okay, but I saw that you liked it
2 AM and faded, I know that's when you like it
Know that's when you miss me, know that's when you crying
Why you, why you, why you checking if you're over it?
Why you, why you say ""Let go"" if you're still holding it?
Just a little bit better at faking it than me, baby
Just a little bit better at faking it than me, baby
Why you, why you, why you checking if you're over it?
Why you, why you say ""Let go"" if you're still holding it?
Just a little bit better at faking it than me, baby
Just a little bit better at faking it than me, baby
Nowadays, I'm just a bitch to everybody else
Fuck you and you
I don't need no shoulders, I'm good crying by myself
Fuck you, too
Moving on's a chore, 'cause you know I still adore ya
An unrequited love is just a lover's hell
And I say I'm okay, but I guess I'm a liar
You say you're okay, but I saw that you liked it
2 AM and faded, I know that's when you like it
Know that's when you miss me, know that's when you crying
Why you, why you, why you checking if you're over it?
Why you, why you say ""Let go"" if you're still holding it?
Just a little bit better at faking it than me, baby
Just a little bit better at faking it than me, baby
Why you, why you, why you checking if you're over it?
Why you, why you say ""Let go"" if you're still holding it?
Just a little bit better at faking it than me, baby
Just a little bit better at faking it than me, baby
Lil Boat, Lil Boat, Lil Boat, Lil Boat, Lil Boat
I'm not gonna act like I don't love ya baby
'Cause deep in my mind, girl, I know I do true
Tried to search all through the world and not well
But I can't find a girl who looks close like you no!
I done made millions of dollars
But I'm still alone until I come home back to you yah!
I remember all of the times we were parked by your house
And laughed all on your avenue
Whoa, you can't front, you're a stone cold diva yaah!
I had to get counseling from my moms
She's a heartbreak teacher oh, yah!
Remember that time I put those pepperonis on your face
Made you a creature
Now I think about you every single time I eat pizza, ohh
Why you, why you, why you checking if you're over it?
Why you, why you say ""Let go"" if you're still holding it?
Just a little bit better at faking it than me, baby
Just a little bit better at faking it than me, baby
Why you, why you, why you checking if you're over it?
Why you, why you say ""Let go"" if you're still holding it?
Just a little bit better at faking it than me, baby
Just a little bit better at faking it than me, baby
Why you holding me?
Why you holding me?
Oh, she killed that shit
She was killing it, that was hard, bruh
I didn't know she could get that high but she killed that
Go Lani, go Lani
","False",210
"211","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean","Feels",18,20,"2017-11-04",94,"June 15, 2017","G.O.O.D. Music, Columbia Records, Atlanta, Dance, Rap, Pop","Starrah, Pharrell williams, Katy perry, Calvin harris, Big sean","Feels 
Hey!
Well nothing ever last forever, no
One minute you're here and the next you're gone
So I respect you, wanna take it slow
I need a mental receipt to know this moment I owe
Do you mind if I steal a kiss? Chop, chop
A little souvenir, can I steal it from you?
To memorize the way you shock me
The way you move it here Hey
Just wanna feel it from you Hey
Don't be afraid to catch feels
Ride drop top and chase thrills Hey
I know you ain't afraid to pop pills Hey
Baby, I know you ain't scared to catch feels
Feels with me
I'm your window shopper, sucker for your love, oh
I'm wearing your goggles, virtual reality
It ain't what it cost you, it might be a dollar
As long as it shocks you, memory, electricity
Do you mind if I steal a kiss? Chop, chop
A little souvenir, can I steal it from you? Oh, yeah
To memorize the way you shock me Zap
The way you move it here Hey
Just wanna feel it from you Hey
Don't be afraid to catch feels Ha
Ride drop top and chase thrills Oh-oh-oh, oh
I know you ain't afraid to pop pills Hey
Baby, I know you ain't scared to catch feels Straight up
Feels with me Woah
Goddamn, I know you love to make an entrance
Do you like getting paid or getting paid attention?
You mixed the wrong guys with the right intentions
In the same bed, but it still feel long distance
She's looking for a little more consistency
But when you stop looking you gon' find what's meant to be
And honestly, I'm way too done with the hoes
I cut off all my exes for your x and o's
I feel my old flings was just preparing me
When I say I want you, say it back, parakeet
Fly in first-class through the air, Airbnb
I'm the best you had, you just be comparing me to me
I'ma 'at' this at you, if I put you on my phone
And upload it, it'll get maximum views
I came through in the clutch with the lipsticks and phones
Wear your fave cologne just to get you alone
Don't be afraid to catch feels
Don't be afraid to catch these feels
Ride drop top and chase thrills Yeah
I know you ain't afraid to pop pills I know
Baby, I know you ain't scared to catch feels
Woah, woah, woah
Feels with me
Don't be afraid to catch feels No, no
Don't be afraid, baby
Ride drop top and chase thrills Woah, okay
I know you ain't afraid to pop pills
I know, I know, I know, I know
Baby, I know you ain't scared to catch feels
Feels with me
","True",211
"212","Calvin Harris, Rihanna","This Is What You Came For",32,3,"2016-12-24",36,"April 29, 2016","Roc Nation, Electro House, House, Electro-Pop, Memes, Electronic, Dance-Pop, Dance, Pop","Taylor swift, Calvin harris","This Is What You Came For 
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, oh, oh
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
Oh, oh
We go fast with the game we play
Who knows why it's gotta be this way?
We say nothing more than we need
I say ""your place"" when we leave
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
Oh, oh
Baby, this is what you came for
Lightning strikes every time she moves
Yeah
Baby, this is what you came for
Lightning strikes every time she moves
And everybody's watching her
But she's looking at you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
You, oh, oh, you, oh, oh
Oh, oh
","False",212
"213","Calvin Harris, Young Thug, Pharrell Williams, Ariana Grande","Heatstroke",1,NA,"2017-04-22",96,"March 31, 2017","YSL, Columbia Records, Dance, Pop, Atlanta, Rap","Pharrell williams, Starrah, Young thug, Calvin harris","Heatstroke 
Won't you please
Slow it down?
I'm tryna talk to you, darlin'
Tryna walk with you, darlin'
Do you hear me?
And no-no-no-no-nobody can stop it
The love you got from me
And every time, I look out at my seat today
They chase, they flash they flash, yes
Tell me how you feel right now
'Cause all I wanna do is keep it real right now
I'm tryna beat it up, Beat Pills right now
Athletic in the sheets, I got skills right now
Break bread with some red baby hair
Ballin' in the club, Ace of Spades, yeah
Pop that bitch and spray it like 'Raid'
Yellow diamonds on you like a glass of lemonade
QB, I'll throw it
Teeth white, Newports
I want knees like shorts
80 thousand dollar Birkin bag in the Porsche
I'm tryna fuck with you 'til we on life support
I'll split it with you if we get half of Michael Jordan
No toilet tissue, I shit on niggas 'cause life is short facts
No passport to go with me, I had to get deported
Release, let go, and have a good time
Have a good, have a good time, yeah
Have a good, have a good time
Release, let go, and have a good time
Let's have a good, have a good time, yeah
When you do things like this
And you set me free
How can anyone get tired?
When you do things like this
And you set me free
I think I've just been inspired
Oh babe
Jeffery!
Brand new chapter of a real you
She got every red bottom like a baboon
Hunnid' bottles in the club, real one room
Girl you gotta keep up with a boss move
King of the jungle, tycoon
Everybody thinking that's a cartoon
We just wanna party, way back in the war room
Do you want some? No I don't, son
Tryna watch me ballin', do you want money?
I'm just tryna turn up, tryna work something
Shawty suck the dick good, she wanna fuck it first
Hey mista, you a rat burn
Good hair down her back
Rich nigga, I like 'em ratchet
Fuck it up, throw it back
No shave, Brazilian wax
Release, let go, and have a good time
Have a good, have a good time, yeah
Have a good, have a good time
Release, let go, and have a good time
Have a good, have a good time, yeah
When you do things like this
And you set me free
How can anyone get tired?
When you do things like this
And you set me free
I think I've just been inspired
When you do things like this
And you set me free, boy
How can anyone get tired?
When you do things like this
And you set me free
I think I've just been inspired
Hey, hey
I could sweat like this all night
Oh, heatstroke, oh
I think you opened my eyes
","True",213
"214","Cam","Burning House",25,29,"2016-01-15",44,"March 31, 2015","Country","Tyler johnson, Jeff bhasker, Cam","Burning House 
I had a dream about a burning house
You were stuck inside, I couldn't get you out
I laid beside you and pulled you close
And the two of us went up in smoke
Love isn't all that it seems I did you wrong
I'll stay here with you until this dream is gone
I've been sleepwalking
Been wandering all night
Trying to take what<U+0092>s lost and broke
And make it right
I've been sleepwalking
Too close to the fire
But it's the only place that I can hold you tight
In this burning house
See you at a party and you look the same
I could take you back but people don't ever change
Wish that we could go back in time
I'd be the one you thought you'd find
Love isn't all that it seems I did you wrong
I'll stay here with you until this dream is gone
I've been sleepwalking
Been wandering all night
Trying to take what<U+0092>s lost and broke
And make it right
I've been sleepwalking
Too close to the fire
But it's the only place that I can hold you tight
In this burning house
The flames are getting bigger now
In this burning house
I can hold on to you somehow
In this burning house
Oh, and I don't want to wake up
In this burning house
I've been sleepwalking
Been wandering all night
Trying to take what<U+0092>s lost and broke
And make it right
I've been sleepwalking
Too close to the fire
But it's the only place that I can hold you tight
In this burning house
","False",214
"215","Camila Cabello","Crying In The Club",9,47,"2017-08-05",73,"May 19, 2017","Epic Records, Mexico, Cuba, West Coast, Australia, R&B, Dance-Pop, Dance, Pop","Happy perez, Steve kipner, Cashmere cat, Pamela sheyne, David frank, Benny blanco, Sia, Camila cabello","Crying in the Club 
You think that you'll die without him
You know, that's a lie that you tell yourself
You fear that you lay alone forever now
It ain't true, ain't true, ain't true, no
So put your arms around me tonight
Let the music lift you up
Like you've never been so high
Open up your heart to me
Let the music lift you up
Like you've never been this free
'Til you feel the sunrise
Let the music warm your body
Like the heat of a thousand fires
The heat of a thousand fires
Ain't no crying in the club hey, hey
Let the beat carry, your tears as they fall, baby
Ain't no crying in the club hey, hey
With a little faith, your tears turn to ecstasy
Ain't no crying in the club
I won't, I won't, I...
Ain't no crying in the club
I won't, I won't, I...
Ain't no crying in the club
You may think that you'll die without her
But you know, that's a lie that you told yourself
You fear that you'll never meet another so pure
It ain't true, ain't true, ain't true, no
So put your arms around me tonight
Let the music lift you up
Like you've never been so high
Open up your heart to me
Let the music lift you up
Like you've never been this free
'Til you feel the sunrise
Let the music warm your body
Like the heat of a thousand fires
The heat of a thousand fires
Ain't no crying in the club hey, hey
Let the beat carry, your tears as they fall, baby
Ain't no crying in the club hey, hey
With a little faith, your tears turn to ecstasy
Ain't no crying in the club
I won't, I won't, I...
Ain't no crying in the club
I won't, I won't, I...
Ain't no crying in the club
You think that you'll die without him
You know, that's a lie that you tell yourself
You fear that you lay alone forever now
It ain't true, ain't true, ain't true
I said ain't no... ain't no...
Ain't no crying...
Ain't no crying in the club, no crying...
I said ain't no... ain't no...
Ain't no crying...
Ain't no crying in the club, no crying...
Woah!
Ain't no crying in the club hey, hey
Let the beat carry, your tears as they fall, baby
Ain't no crying in the club hey, hey
With a little faith, your tears turn to ecstasy
Ain't no crying in the club
I won't, I won't, I...
Ain't no crying in the club
I won't, I won't, I...
Ain't no crying in the club I won't cry, I won't cry, I won't cry no more
I won't, I won't, I...
Ain't no crying in the club I won't cry, I won't cry, I won't cry no more
I won't, I won't, I...
Ain't no crying in the club
","True",215
"216","Camila Cabello","Never Be The Same",33,6,"2018-08-11",36,"December 7, 2017","Canada, Toronto, Electro-Pop, Electro, R&B, Mexico, Cuba, Epic Records, Pop","Sasha sloan, Camila cabello, Frank dukes, Leo rami dawod, Jacob ludwig, Noonie bao","Never Be the Same 
Somethin' must've gone wrong in my brain
Got your chemicals all in my veins
Feelin' all the highs, feelin' all the pain
Let go on the wheel, it's the bullet lane
Now I'm seein' red, not thinkin' straight
Blurrin' all the lines, you intoxicate me
Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need
All I need, yeah, you're all I need
It's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame
Just one hit of you, I knew I'll never be the same
It's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame
Just one hit of you, I knew I'll never ever, ever be the same
I'll never be the same
I'll never be the same
I'll never be the same
Sneakin' in L.A. when the lights are low
Off of one touch, I could overdose
You said, ""stop playin' it safe
Girl, I wanna see you lose control""
Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need
All I need, yeah, you're all I need
It's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame
Just one hit of you, I knew I'll never be the same
It's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame
Just one hit of you, I knew I'll never ever, ever be the same
I'll never be the same
I'll never be the same
I'll never be the same
You're in my blood, you're in my veins, you're in my head I blame
You're in my blood, you're in my veins, you're in my head
I'm sayin' it's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame you're to blame
Just one hit of you, I knew I'll never be the same I'll never be the...
It's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame
Just one hit of you, I knew I'll never ever, ever be the same
","False",216
"217","Camila Cabello, Quavo","OMG",1,NA,"2017-08-26",81,"August 3, 2017","Quality Control Music, Southern, Motown, Capitol Records, Epic Records, Mexico, Cuba, Atlanta, Trap, R&B, Rap, Pop","Noonie bao, Mikkel eriksen, Tor erik hermansen, Quavo, Charli xcx, Bonnie tyler, Sasha sloan, Camila cabello","OMG 
Baby, what'cha say?
I ain't here to, I ain't here to conversate
Baby, I don't play
From Miami, causin' trouble in LA
Rowdy, Tennessee
If I don't send for you, best not come for me
Jordan, twenty-three
Guarantee you're gonna wanna leave with me
I got that li-li-li-like
Pull up, pull up, pull up straight from Tokyo
You cannot believe it when we come through
Woo, my God, you look good today
Woo, my God, you look good today, yeah
Back up, back up, back up, do it slow-mo'
When she drop, it bounce back like a yo-yo
Woo, my God, you look good today
You look good today, yeah
Oh my God
Oh my God, yeah uh
Oh my God, you're awesome oh my God
Oh my God, yeah uh
Oh my God, you're awesome oh my God
Oh my God, yeah uh
Oh my God, you're awesome oh my God
Oh my God, yeah
Ice cold like my drink
Lose your concentration when you take a sip, yeah sip it, sip it
Cyclone, make it spin
'Cause all I, all I, all I, all I do is win
Yeah, I'm cut like a diamond, I'm cold
4 A.M., bloom like a rose
Girls like the summer, we're gold, uh
We got that li-li-li-like
Pull up, pull up, pull up straight from Tokyo
You cannot believe it when we come through yeah, yeah
Woo, my God, you look good today
Woo, my God, you look good today, yeah
Back up, back up, back up, do it slow-mo'
When she drop, it bounce back like a yo-yo
Woo, my God my God, you look good today
You look good today, yeah
Oh my God
Oh my God, yeah uh
Oh my God, you're awesome oh my God
Oh my God, yeah uh
Oh my God, you're awesome oh my God
Oh my God, yeah uh
Oh my God, you're awesome oh my God
Oh my God, yeah
Oh my God, she's so right, though you know you're so right
Me and you, that's a iso
Waist so small, look like lipo li-lipo
Moonwalk, my diamonds Michael Mi-Michael
She's so fine, I call my best man brr
Ain't no rings on her left hand no rings
I had a dream I was in quicksand dream
Then I woke up with the best plans yeah
Oh my God, yeah uh
Oh my God, you're awesome yeah
Smoke more green than Boston green
I make a play and call 'em yeah
Oh my God, she flossin' ooh
On the cover of magazines
I'mma crown the queen queen
Bad and boujee, thick and pretty
I'm givin' her wet dreams ooh, yeah
I'm the main reason why her friends like me hey
Havin' her mad at me, tackle me like I'm an athlete ooh, yeah
Pull up, pull up, pull up straight from Tokyo
You cannot believe it when we come through
Woo, my God, you look good today
Woo, my God, you look good today, yeah
Back up, back up, back up, do it slow-mo'
When she drop, it bounce back like a yo-yo
Woo, my God, you look good today
You look good today, yeah
Oh my God
","False",217
"218","Camila Cabello, Young Thug","Havana",46,1,"2018-07-07",39,"August 3, 2017","Atlanta, R&B, Cuba, Epic Records, 300 Entertainment, Latin Music, Trap, YSL, Rap, Latin Pop, Pop","Kaan gunesberk, Louis bell, Frank dukes, Young thug, Pharrell williams, Watt, Brian dong ho lee, Ali tamposi, Starrah, Camila cabello","Havana 
Hey
Havana, ooh na-na ayy
Half of my heart is in Havana, ooh na-na ayy, ayy
He took me back to East Atlanta, na-na-na, ah
Oh, but my heart is in Havana ayy
There's somethin' 'bout his manners uh huh
Havana, ooh na-na uh
He didn't walk up with that ""how you doin'?"" uh
When he came in the room
He said there's a lot of girls I can do with uh
But I can't without you
I knew him forever in a minute hey
That summer night in June
And papa says he got malo in him uh
He got me feelin' like...
Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh ayy
I knew it when I met him ayy, I loved him when I left him
Got me feelin' like, ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh
And then I had to tell him, I had to go
Oh na-na-na-na-na woo
Havana, ooh na-na ayy, ayy
Half of my heart is in Havana, ooh na-na ayy, ayy
He took me back to East Atlanta, na-na-na uh huh
Oh, but my heart is in Havana ayy
My heart is in Havana ayy
Havana, ooh na-na
Jeffery, just graduated, fresh on campus, mmm
Fresh out East Atlanta with no manners, damn fresh out East Atlanta
Bump on her bumper like a traffic jam
Hey, I was quick to pay that girl like Uncle Sam here you go, ayy
Back it on me
Shawty cravin' on me, get to eatin' on me on me
She waited on me then what?
Shawty cakin' on me, got the bacon on me wait up
This is history in the makin', on me on me
Point blank, close range, that B
If it cost a million, that's me that's me
I was gettin' mula, baby
Havana, ooh na-na ayy, ayy
Half of my heart is in Havana, ooh na-na oh, ayy, ayy
He took me back uh huh to East Atlanta, na-na-na oh, no
Oh, but my heart is in Havana ayy
My heart is in Havana ayy
Havana, ooh na-na
Ooh na-na, oh, na-na-na ooh, ooh-ooh-ooh-ooh-ooh-ooh
Take me back, back, back like...
Ooh na-na, oh, na-na-na yeah, babe
Take me back, back, back like...
Ooh na-na, oh, na-na-na yeah, yeah
Take me back, back, back like...
Ooh na-na, oh, na-na-na yeah, babe
Take me back, back, back
Hey, hey...
Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh hey
Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh hey
Take me back to my Havana...
Havana, ooh na-na hey
Half of my heart is in Havana, ooh na-na oh, yeah
He took me back to East Atlanta, ayy, ayy na-na-na
Oh, but my heart is in Havana
My heart is in Havana ayy
Havana, ooh na-na
Uh huh
Oh, na-na-na oh, na, yeah
Oh, na-na-na
Oh, na-na-na no, no, no, take me back
Oh, na-na-na
Havana, ooh na-na
","True",218
"219","Canaan Smith","Love You Like That",20,46,"2015-08-21",84,"","Country","","Love You Like That 
Hey girl, I<U+0092>m just a small town run around
I get my kicks out on the outskirts of town
I could never do it like a pretty city boy
I<U+0092>m more a fishin<U+0092> in the dark nitty gritty boy
So lay back and let me paint you a picture
The way I wanna kiss you is
Slow as the Mississippi
Strong as a fifth of whiskey
Steady as a Tom Petty track
I wanna love, wanna love you like that
Deeper than a sunset sky
Sweeter than muscadine wine
All night <U+0091>til the sun comes back
I wanna love, wanna love, wanna love you like that
When I<U+0092>m with you I can see down the road girl
Not just the gravel one we<U+0092>re travelin<U+0092> on girl
And I<U+0092>m bettin<U+0092> that it<U+0092>s gonna be a wild ride
But I promise that I<U+0092>m gonna be there by your side
I think we got another memory in the makin<U+0092>
So baby let<U+0092>s take it, take it
Slow as the Mississippi
Strong as a fifth of whiskey
Steady as a Tom Petty track
I wanna love, wanna love you like that
Deeper than a sunset sky
Sweeter than muscadine wine
All night <U+0091>til the sun comes back
I wanna love, wanna love, wanna love you like that
I ain<U+0092>t gonna do it like a pretty city boy
I<U+0092>m a fishin<U+0092> in the dark nitty gritty boy
So let me love you
Slow as the Mississippi
Strong as a fifth of whiskey
Steady as a Tom Petty track
I wanna love, wanna love you like that
Deeper than a sunset sky
Sweeter than muscadine wine
All night <U+0091>til the sun comes back
I wanna love, wanna love, wanna love you like that
Baby, I wanna love, wanna love, wanna love you like that
","False",219
"220","Cardi B","Be Careful",18,11,"2018-08-11",43,"March 30, 2018","Quality Control Music, R&B, Bronx, New York, Atlantic Records, Pop, Rap","Frank dukes, Vinylz, Jordan thorpe, Lauryn hill, Cardi b","Be Careful 
Yeah
Care for me, care for me, care for me, uh
Yeah, look
I wanna get married, like the Currys, Steph and Ayesha shit
But we more like Belly<U+0097>Tommy and Keisha shit
Gave you TLC, you wanna creep and shit
Poured out my whole heart to a piece of shit
Man, I thought you would've learned your lesson
'Bout likin' pictures, not returnin' texts
I guess it's fine, man, I get the message
You still stutter after certain questions
You keep in contact with certain exes
Do you, though, trust me, nigga, it's cool, though
Said that you was workin', but you out here chasin' culo
And putas, chillin' poolside, livin' two lives
I could've did what you did to me to you a few times
But if I did decide to slide, find a nigga
Fuck him, suck his dick, you would've been pissed
But that's not my M.O., I'm not that type of bitch
And karma for you is gon' be who you end up with
You make me sick, nigga
The only man, baby, I adore
I gave you everything, what's mine is yours
I want you to live your life of course
But I hope you get what you dyin' for
Be careful with me, do you know what you doin'?
Whose feelings that you're hurtin' and bruisin'?
You gon' gain the whole world
But is it worth the girl that you're losin'?
Be careful with me
Yeah, it's not a threat, it's a warnin'
Be careful with me
Yeah, my heart is like a package with a fragile label on it
Be careful with me
Care for me, care for me
Always said that you'd be there for me, there for me
Boy, you better treat me carefully, carefully, look
I was here before all of this
Guess you actin' out now, you got an audience
Tell me where your mind is, drop a pin, what's the coordinates?
You might have a fortune, but you lose me, you still gon' be misfortunate, nigga
Tell me, this lust got you this fucked up in the head
You want some random bitch up in your bed?
She don't even know your middle name, watch her 'cause she might steal your chain
You don't want someone who loves you instead? I guess not though
It's blatant disrespect, you nothin' like the nigga I met
Talk to me crazy and you quick to forget
You even got me trippin', you got me lookin' in the mirror different
Thinkin' I'm flawed because you inconsistent
Between a rock and a hard place, the mud and the dirt
It's gon' hurt me to hate you, but lovin' you's worse
It all stops so abrupt, we started switchin' it up
Teach me to be like you so I can not give a fuck
Free to mess with someone else, I wish these feelings could melt
'Cause you don't care about a thing except your mothafuckin' self
You make me sick, nigga
The only man, baby, I adore
I gave you everything, what's mine is yours
I want you to live your life of course
But I hope you get what you dyin' for
Be careful with me, do you know what you doin'?
Whose feelings that you're hurtin' and bruisin'?
You gon' gain the whole world
But is it worth the girl that you're losin'?
Be careful with me
Yeah, it's not a threat, it's a warnin'
Be careful with me
Yeah, my heart is like a package with a fragile label on it
Be careful with me
","False",220
"221","Cardi B","Bickenhead",2,43,"2018-04-28",68,"April 6, 2018","Bounce, Quality Control Music, Bronx, New York, Atlantic Records, Rap","Ayo the producer, Keyzbaby, Cardi b, Amnija charles, Phillip coleman jr","Bickenhead 
Goes for all my nasty hoes, yeah
A-alright, alright, alright, alright, alright
From across the globe, woo hol' up
This goes for all my nasty hoes, yeah
Alright-alright, alright, alright, alright, alright
From across the globe, look, uh
Now, I said luxury apartments wow
I'm young and I'm heartless yeah
There's a bitch that's in my vision, that bitch is a target brrr
Lawyer is a Jew, he gon' chew up all the charges
Don't matter if you fuck with me, I get money regardless cash
That guap, guap, get some chicken, guap, guap, get some bread
Guap, guap, get some chicken, guap, guap, get some bread
Bitch you pressed, you can flex
Get some money, ho, tell me why you stressed
Now I said hoes down, G's up G's up
You know how I'm rockin', but my watch is freezed up ice
I can't wait until they drop that Lamborghini truck skrrt!
I'm careful where I park it, hoes will have it keyed up
Them bitches getting beat up
Slim waist, ass fat fat, my shit is caked up
My bad bitch at the bake yeah, without no makeup
This that collard greens, cornbread, neck bone, back fat
Get it from my mama and you don't know where your daddy at
Knick-knack paddywhack, give a dog a bone bone
Put it on him, then your nigga never comin' home home
I'ma flex like a 'roid, I'm a ten, she a 'droid
Stupid ho, unimportant, unattractive, unemployed
Get some guap, guap, get some chicken, guap, guap, get some bread
Guap, guap, get some chicken, guap, guap, get some bread
Bitch you pressed, you can flex
Get some money, ho, tell me why you stressed, uh
Guap, guap, get some chicken
I need that cheese, shorty, show me where it's at boy, please, whatever
You play with me, I might pop up where you at boy, please, whatever
You make-believe, now with me it's only facts boy, please, whatever
Expensive weave, and my checks is worth some racks, uh
Yeah, pop that pussy like you ain't popped that pussy in a while
Pop that pussy like poppin' pussy is goin' out of style
Pop that pussy while you work, pop that pussy up at church
Pop that pussy on the pole, pop that pussy on the stove
Make that pussy slip and slide like you from the 305
Put your tongue out in the mirror, pop that pussy while you drive
Spread them asscheeks open, make that pussy crack a smile
Lock your legs 'round that nigga, make him give your ass a child woo
Gimme some neck, gimme a check
Pussy so good, make a nigga invest
Get a little spit, I'm gettin' it wet
I'll get it back up, just give me a sec'
Give him some vag', I'm gettin' a bag
Give him some ass, I'm gettin' some Raf
When I'm done I make him cum, but then he comin' off that cash
Get you some guap, guap, get some chicken, guap, guap, get some bread
Guap, guap, get some chicken, guap, guap, get some bread
Bitch you pressed, you can flex
Get some money, ho, tell me why you stressed, uh
Guap, guap, get some chicken
I need that cheese, shorty, show me where it's at boy, please, whatever
You play with me, I might pop up where you at boy, please, whatever
You make-believe, now with me it's only facts boy, please, whatever
Expensive weave, and my checks is worth some racks, uh
Alright-alright, alright, alright, alright, alright
Alright-alright, alright, alright, alright, alright
Alright-alright, alright, alright, alright, alright
Alright-alright, alright, alright, alright, alright
","False",221
