Artists,Name,Peak position,Week,Weekly rank,Weeks on chart
Russell Dickerson,Yours,69,2017-12-16,69,7
Kelly Clarkson,Love So Soft,47,2017-12-16,70,12
Garth Brooks,Ask Me How I Know,71,2017-12-16,71,6
NAV Featuring Lil Uzi Vert,Wanted You,64,2017-12-16,72,3
Chris Young,Losing Sleep,63,2017-12-16,73,10
Zayn Featuring Sia,Dusk Till Dawn,44,2017-12-16,74,12
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers,35,2017-12-16,75,5
Luis Fonsi & Demi Lovato,Echame La Culpa,47,2017-12-16,76,2
Tay,The Race,44,2017-12-16,77,17
Maren Morris,I Could Use A Love Song,75,2017-12-16,78,15
Eminem Featuring Beyonce,Walk On Water,14,2017-12-16,79,3
Becky G Featuring Bad Bunny,Mayores,74,2017-12-16,80,6
XXXTENTACION Featuring Trippie Redd,fuck Love,41,2017-12-16,81,14
Famous Dex Featuring A$AP Rocky,Pick It Up,82,2017-12-16,82,3
Taylor Swift Featuring Ed Sheeran & Future,End Game,83,2017-12-16,83,2
Walker Hayes,You Broke Up With Me,84,2017-12-16,84,6
XXXTENTACION,Jocelyn Flores,31,2017-12-16,85,14
"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",Krippy Kush,,2017-12-16,86,
Kodak Black,Transportin',46,2017-12-16,87,15
Tank,When We,88,2017-12-16,88,2
Niall Horan,Too Much To Ask,66,2017-12-16,89,6
Chris Janson,Fix A Drink,67,2017-12-16,90,14
Jake Paul Featuring Team 10,It's Everyday Bro,91,2017-12-16,91,2
Old Dominion,Written In The Sand,92,2017-12-16,92,2
Devin Dawson,All On Me,93,2017-12-16,93,2
Calvin Harris Featuring Kehlani & Lil Yachty,Faking It,94,2017-12-16,94,2
Post Malone,Go Flex,76,2017-12-16,95,11
Lil Uzi Vert,Sauce It Up,49,2017-12-16,96,14
P!nk,Beautiful Trauma,95,2017-12-16,97,2
Kelsea Ballerini,Legends,,2017-12-16,98,
Chloe Kohanski,Total Eclipse Of The Heart,,2017-12-16,99,
Shakira Featuring Nicky Jam,Perro Fiel,,2017-12-16,100,
Post Malone Featuring 21 Savage,Rockstar,1,2017-12-09,1,0
Lil Pump,Gucci Gang,3,2017-12-09,3,11
Imagine Dragons,Thunder,4,2017-12-09,4,30
Ed Sheeran,Perfect,5,2017-12-09,5,13
Cardi B,Bodak Yellow,1,2017-12-09,6,21
Sam Smith,Too Good At Goodbyes,4,2017-12-09,7,11
Portugal. The Man,Feel It Still,4,2017-12-09,8,23
Demi Lovato,Sorry Not Sorry,6,2017-12-09,9,20
Maroon 5 Featuring SZA,What Lovers Do,9,2017-12-09,10,13
G,No Limit,11,2017-12-09,11,11
J Balvin & Willy William Featuring Beyonce,Mi Gente,3,2017-12-09,12,21
800,1,3,2017-12-09,13,30
Halsey,Bad At Love,14,2017-12-09,14,12
21 Savage,Bank Account,12,2017-12-09,15,20
Gucci Mane Featuring Migos,I Get The Bag,11,2017-12-09,16,14
"Migos, Nicki Minaj & Cardi B",MotorSport,14,2017-12-09,17,4
Dua Lipa,New Rules,18,2017-12-09,18,17
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,1,2017-12-09,19,45
Selena Gomez X Marshmello,Wolves,20,2017-12-09,20,5
Post Malone,I Fall Apart,21,2017-12-09,21,9
Khalid,Young Dumb & Broke,22,2017-12-09,22,19
Imagine Dragons,Believer,4,2017-12-09,23,42
Taylor Swift,...Ready For It?,4,2017-12-09,24,12
P!nk,What About Us,13,2017-12-09,25,16
Kesha,Praying,22,2017-12-09,26,20
Yo Gotti Featuring Nicki Minaj,Rake It Up,8,2017-12-09,27,21
French Montana Featuring Swae Lee,Unforgettable,3,2017-12-09,28,33
6ix9ine,Gummo,29,2017-12-09,29,2
Charlie Puth,Attention,5,2017-12-09,30,31
Ed Sheeran,Shape Of You,1,2017-12-09,31,46
Bruno Mars,That's What I Like,1,2017-12-09,32,45
Shawn Mendes,There's Nothing Holdin' Me Back,6,2017-12-09,33,31
Charlie Puth,How Long,34,2017-12-09,34,7
Post Malone Featuring Quavo,Congratulations,8,2017-12-09,35,48
Liam Payne Featuring Quavo,Strip That Down,10,2017-12-09,36,27
SZA,The Weekend,37,2017-12-09,37,17
Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,31,2017-12-09,38,13
Kendrick Lamar Featuring Zacari,Love.,18,2017-12-09,39,22
Niall Horan,Slow Hands,11,2017-12-09,40,30
Blackbear,Do Re Mi,40,2017-12-09,41,24
Bebe Rexha & Florida Georgia Line,Meant To Be,42,2017-12-09,42,5
Marshmello Featuring Khalid,Silence,42,2017-12-09,43,15
Taylor Swift,Look What You Made Me Do,1,2017-12-09,44,14
LANCO,Greatest Love Story,45,2017-12-09,45,12
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,46,2017-12-09,46,11
Luis Fonsi & Demi Lovato,Echame La Culpa,,2017-12-09,47,
NF,Let You Down,48,2017-12-09,48,6
Kendrick Lamar,Humble.,1,2017-12-09,49,34
A$AP Ferg Featuring Nicki Minaj,Plain Jane,50,2017-12-09,50,9
Luke Combs,When It Rains It Pours,33,2017-12-09,51,17
YBN Nahmir,Rubbin Off The Paint,52,2017-12-09,52,3
Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,53,2017-12-09,53,9
Offset & Metro Boomin,Ric Flair Drip,50,2017-12-09,54,4
Eminem Featuring Beyonce,Walk On Water,14,2017-12-09,55,2
Kodak Black Featuring XXXTENTACION,Roll In Peace,53,2017-12-09,56,14
Thomas Rhett,Unforgettable,47,2017-12-09,57,17
Miguel Featuring Travis Scott,Sky Walker,58,2017-12-09,58,9
Luke Bryan,Light It Up,59,2017-12-09,59,13
Kelly Clarkson,Love So Soft,47,2017-12-09,60,11
Brett Young,Like I Loved You,61,2017-12-09,61,9
Blake Shelton,I'll Name The Dogs,58,2017-12-09,62,11
N*E*R*D & Rihanna,Lemon,63,2017-12-09,63,3
NAV Featuring Lil Uzi Vert,Wanted You,64,2017-12-09,64,2
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers,35,2017-12-09,65,4
Post Malone,Candy Paint,66,2017-12-09,66,5
Macklemore Featuring Kesha,Good Old Days,67,2017-12-09,67,5
Zayn Featuring Sia,Dusk Till Dawn,44,2017-12-09,68,11
Lil Xan,Betrayed,69,2017-12-09,69,2
MAX Featuring gnash,Lights Down Low,70,2017-12-09,70,7
Tay,The Race,44,2017-12-09,71,16
Eric Church,Round Here Buzz,72,2017-12-09,72,9
Russell Dickerson,Yours,73,2017-12-09,73,6
Becky G Featuring Bad Bunny,Mayores,74,2017-12-09,74,5
Chris Young,Losing Sleep,63,2017-12-09,75,9
Garth Brooks,Ask Me How I Know,76,2017-12-09,76,5
Maren Morris,I Could Use A Love Song,75,2017-12-09,77,14
Chris Janson,Fix A Drink,67,2017-12-09,78,13
Lil Peep,Awful Things,,2017-12-09,79,
XXXTENTACION Featuring Trippie Redd,fuck Love,41,2017-12-09,80,13
Young Thug Featuring Future,Relationship,65,2017-12-09,81,14
Kodak Black,Transportin',46,2017-12-09,82,14
XXXTENTACION,Jocelyn Flores,31,2017-12-09,83,13
Carly Pearce,Every Little Thing,50,2017-12-09,84,17
Walker Hayes,You Broke Up With Me,85,2017-12-09,85,5
Taylor Swift Featuring Ed Sheeran & Future,End Game,,2017-12-09,86,
Niall Horan,Too Much To Ask,66,2017-12-09,87,5
Lil Uzi Vert,Sauce It Up,49,2017-12-09,88,13
Famous Dex Featuring A$AP Rocky,Pick It Up,89,2017-12-09,89,2
"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home,,2017-12-09,90,
Post Malone,Go Flex,76,2017-12-09,91,10
Tank,When We,,2017-12-09,92,
Macklemore Featuring Skylar Grey,Glorious,49,2017-12-09,93,19
Chris Brown,Questions,78,2017-12-09,94,13
P!nk,Beautiful Trauma,,2017-12-09,95,
YoungBoy Never Broke Again,No Smoke,,2017-12-09,96,
Chris Stapleton,Broken Halos,92,2017-12-09,97,4
Tim McGraw & Faith Hill,The Rest Of Our Life,,2017-12-09,98,
Old Dominion,Written In The Sand,,2017-12-09,99,
Calvin Harris Featuring Kehlani & Lil Yachty,Faking It,,2017-12-09,100,
Post Malone Featuring 21 Savage,Rockstar,1,2017-12-02,1,9
Lil Pump,Gucci Gang,3,2017-12-02,3,10
Imagine Dragons,Thunder,4,2017-12-02,4,29
Cardi B,Bodak Yellow,1,2017-12-02,5,20
Sam Smith,Too Good At Goodbyes,4,2017-12-02,6,10
Ed Sheeran,Perfect,7,2017-12-02,7,12
800,1,3,2017-12-02,8,29
Portugal. The Man,Feel It Still,4,2017-12-02,9,22
J Balvin & Willy William Featuring Beyonce,Mi Gente,3,2017-12-02,10,20
Maroon 5 Featuring SZA,What Lovers Do,9,2017-12-02,11,12
Demi Lovato,Sorry Not Sorry,6,2017-12-02,12,19
G,No Limit,13,2017-12-02,13,10
Eminem Featuring Beyonce,Walk On Water,,2017-12-02,14,
"Migos, Nicki Minaj & Cardi B",MotorSport,14,2017-12-02,15,3
Gucci Mane Featuring Migos,I Get The Bag,11,2017-12-02,16,13
Halsey,Bad At Love,17,2017-12-02,17,11
Taylor Swift,...Ready For It?,4,2017-12-02,18,11
Dua Lipa,New Rules,19,2017-12-02,19,16
P!nk,What About Us,13,2017-12-02,20,15
French Montana Featuring Swae Lee,Unforgettable,3,2017-12-02,21,32
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,1,2017-12-02,22,44
Yo Gotti Featuring Nicki Minaj,Rake It Up,8,2017-12-02,23,20
Charlie Puth,Attention,5,2017-12-02,24,30
Post Malone,I Fall Apart,25,2017-12-02,25,8
Imagine Dragons,Believer,4,2017-12-02,26,41
21 Savage,Bank Account,12,2017-12-02,27,19
Kesha,Praying,22,2017-12-02,28,19
Khalid,Young Dumb & Broke,25,2017-12-02,29,18
Ed Sheeran,Shape Of You,1,2017-12-02,30,45
Taylor Swift,Look What You Made Me Do,1,2017-12-02,31,13
Liam Payne Featuring Quavo,Strip That Down,10,2017-12-02,32,26
Shawn Mendes,There's Nothing Holdin' Me Back,6,2017-12-02,33,30
Bruno Mars,That's What I Like,1,2017-12-02,34,44
Niall Horan,Slow Hands,11,2017-12-02,35,29
Post Malone Featuring Quavo,Congratulations,8,2017-12-02,36,47
Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,31,2017-12-02,37,12
SZA,The Weekend,38,2017-12-02,38,16
Luke Combs,When It Rains It Pours,33,2017-12-02,39,16
Charlie Puth,How Long,40,2017-12-02,40,6
Kendrick Lamar Featuring Zacari,Love.,18,2017-12-02,41,21
Blackbear,Do Re Mi,40,2017-12-02,42,23
Kane Brown Featuring Lauren Alaina,What Ifs,26,2017-12-02,43,23
Marshmello Featuring Khalid,Silence,42,2017-12-02,44,14
LANCO,Greatest Love Story,45,2017-12-02,45,11
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,46,2017-12-02,46,10
Kendrick Lamar,Humble.,1,2017-12-02,47,33
Lil Uzi Vert,XO TOUR Llif3,7,2017-12-02,48,34
The Chainsmokers & Coldplay,Something Just Like This,3,2017-12-02,49,39
GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew,45,2017-12-02,50,21
Selena Gomez X Marshmello,Wolves,35,2017-12-02,51,4
NF,Let You Down,52,2017-12-02,52,5
Bebe Rexha & Florida Georgia Line,Meant To Be,53,2017-12-02,53,4
A$AP Ferg Featuring Nicki Minaj,Plain Jane,54,2017-12-02,54,8
Thomas Rhett,Unforgettable,47,2017-12-02,55,16
Offset & Metro Boomin,Ric Flair Drip,50,2017-12-02,56,3
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers,35,2017-12-02,57,3
6ix9ine,Gummo,,2017-12-02,58,
Kodak Black Featuring XXXTENTACION,Roll In Peace,53,2017-12-02,59,13
Luke Bryan,Light It Up,60,2017-12-02,60,12
Kelly Clarkson,Love So Soft,47,2017-12-02,61,10
Brett Young,Like I Loved You,62,2017-12-02,62,8
Blake Shelton,I'll Name The Dogs,58,2017-12-02,63,10
Miguel Featuring Travis Scott,Sky Walker,64,2017-12-02,64,8
NAV Featuring Lil Uzi Vert,Wanted You,,2017-12-02,65,
Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,64,2017-12-02,66,8
Chris Janson,Fix A Drink,67,2017-12-02,67,12
Macklemore Featuring Kesha,Good Old Days,68,2017-12-02,68,4
Keith Urban,Female,,2017-12-02,69,
Zayn Featuring Sia,Dusk Till Dawn,44,2017-12-02,70,10
Tay,The Race,44,2017-12-02,71,15
Carly Pearce,Every Little Thing,50,2017-12-02,72,16
Taylor Swift,Call It What You Want,27,2017-12-02,73,2
Chris Young,Losing Sleep,63,2017-12-02,74,8
Russell Dickerson,Yours,74,2017-12-02,75,5
MAX Featuring gnash,Lights Down Low,76,2017-12-02,76,6
Eric Church,Round Here Buzz,76,2017-12-02,77,8
Post Malone,Candy Paint,78,2017-12-02,78,4
N*E*R*D & Rihanna,Lemon,65,2017-12-02,79,2
YBN Nahmir,Rubbin Off The Paint,79,2017-12-02,80,2
Maren Morris,I Could Use A Love Song,75,2017-12-02,81,13
XXXTENTACION Featuring Trippie Redd,fuck Love,41,2017-12-02,82,12
XXXTENTACION,Jocelyn Flores,31,2017-12-02,83,12
Becky G Featuring Bad Bunny,Mayores,83,2017-12-02,84,4
Garth Brooks,Ask Me How I Know,85,2017-12-02,85,4
Young Thug Featuring Future,Relationship,65,2017-12-02,86,13
Kodak Black,Transportin',46,2017-12-02,87,13
"21 Savage, Offset & Metro Boomin Featuring Quavo",Rap Saved Me,64,2017-12-02,88,3
Taylor Swift,Gorgeous,13,2017-12-02,89,4
Lil Uzi Vert,Sauce It Up,49,2017-12-02,90,12
Chris Brown,Questions,78,2017-12-02,91,12
Florida Georgia Line,Smooth,89,2017-12-02,92,7
Lil Xan,Betrayed,,2017-12-02,93,
Walker Hayes,You Broke Up With Me,91,2017-12-02,94,4
Chris Stapleton,Broken Halos,92,2017-12-02,95,3
G,The Plan,,2017-12-02,96,
Famous Dex Featuring A$AP Rocky,Pick It Up,,2017-12-02,97,
Post Malone,Go Flex,76,2017-12-02,98,9
Niall Horan,Too Much To Ask,66,2017-12-02,99,4
Future & Young Thug Featuring Offset,Patek Water,50,2017-12-02,100,4
Post Malone Featuring 21 Savage,Rockstar,1,2017-11-25,1,8
Cardi B,Bodak Yellow,1,2017-11-25,3,19
Sam Smith,Too Good At Goodbyes,4,2017-11-25,4,9
Imagine Dragons,Thunder,5,2017-11-25,5,28
800,1,3,2017-11-25,6,28
Portugal. The Man,Feel It Still,4,2017-11-25,7,21
Ed Sheeran,Perfect,8,2017-11-25,8,11
Maroon 5 Featuring SZA,What Lovers Do,9,2017-11-25,9,11
J Balvin & Willy William Featuring Beyonce,Mi Gente,3,2017-11-25,10,19
Demi Lovato,Sorry Not Sorry,6,2017-11-25,11,18
Lil Pump,Gucci Gang,7,2017-11-25,12,9
G,No Limit,13,2017-11-25,13,9
Gucci Mane Featuring Migos,I Get The Bag,11,2017-11-25,14,12
21 Savage,Bank Account,12,2017-11-25,15,18
French Montana Featuring Swae Lee,Unforgettable,3,2017-11-25,16,31
P!nk,What About Us,13,2017-11-25,17,14
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,1,2017-11-25,18,43
Charlie Puth,Attention,5,2017-11-25,19,29
Halsey,Bad At Love,20,2017-11-25,20,10
Dua Lipa,New Rules,21,2017-11-25,21,15
Yo Gotti Featuring Nicki Minaj,Rake It Up,8,2017-11-25,22,19
"Migos, Nicki Minaj & Cardi B",MotorSport,14,2017-11-25,23,2
Imagine Dragons,Believer,4,2017-11-25,24,40
Khalid,Young Dumb & Broke,25,2017-11-25,25,17
Ed Sheeran,Shape Of You,1,2017-11-25,26,44
Taylor Swift,Call It What You Want,,2017-11-25,27,
Kesha,Praying,22,2017-11-25,28,18
Post Malone,I Fall Apart,28,2017-11-25,29,7
Taylor Swift,...Ready For It?,4,2017-11-25,30,10
Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,31,2017-11-25,31,11
Liam Payne Featuring Quavo,Strip That Down,10,2017-11-25,32,25
Shawn Mendes,There's Nothing Holdin' Me Back,6,2017-11-25,33,29
Niall Horan,Slow Hands,11,2017-11-25,34,28
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers,35,2017-11-25,35,2
Bruno Mars,That's What I Like,1,2017-11-25,36,43
Taylor Swift,Look What You Made Me Do,1,2017-11-25,37,12
Luke Combs,When It Rains It Pours,33,2017-11-25,38,15
Kane Brown Featuring Lauren Alaina,What Ifs,26,2017-11-25,39,22
Post Malone Featuring Quavo,Congratulations,8,2017-11-25,40,46
Blackbear,Do Re Mi,40,2017-11-25,41,22
The Chainsmokers & Coldplay,Something Just Like This,3,2017-11-25,42,38
SZA,The Weekend,43,2017-11-25,43,15
Charlie Puth,How Long,44,2017-11-25,44,5
Lil Uzi Vert,XO TOUR Llif3,7,2017-11-25,45,33
Kendrick Lamar,Humble.,1,2017-11-25,46,32
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,47,2017-11-25,47,9
DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts,2,2017-11-25,48,21
Sam Hunt,Body Like A Back Road,6,2017-11-25,49,41
Offset & Metro Boomin,Ric Flair Drip,50,2017-11-25,50,2
GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew,45,2017-11-25,51,20
LANCO,Greatest Love Story,51,2017-11-25,52,10
Thomas Rhett,Unforgettable,47,2017-11-25,53,15
Marshmello Featuring Khalid,Silence,42,2017-11-25,54,13
Selena Gomez X Marshmello,Wolves,35,2017-11-25,55,3
Kodak Black Featuring XXXTENTACION,Roll In Peace,53,2017-11-25,56,12
Kelly Clarkson,Love So Soft,47,2017-11-25,57,9
Blake Shelton,I'll Name The Dogs,58,2017-11-25,58,9
A$AP Ferg Featuring Nicki Minaj,Plain Jane,54,2017-11-25,59,7
Carly Pearce,Every Little Thing,50,2017-11-25,60,15
NF,Let You Down,61,2017-11-25,61,4
Bebe Rexha & Florida Georgia Line,Meant To Be,60,2017-11-25,62,3
Luke Bryan,Light It Up,62,2017-11-25,63,11
"21 Savage, Offset & Metro Boomin Featuring Quavo",Rap Saved Me,64,2017-11-25,64,2
N*E*R*D & Rihanna,Lemon,,2017-11-25,65,
Tay,The Race,44,2017-11-25,66,14
Brett Young,Like I Loved You,63,2017-11-25,67,7
Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,64,2017-11-25,68,7
Miguel Featuring Travis Scott,Sky Walker,66,2017-11-25,69,7
Chris Young,Losing Sleep,63,2017-11-25,70,7
Chris Janson,Fix A Drink,67,2017-11-25,71,11
Macklemore Featuring Kesha,Good Old Days,70,2017-11-25,72,3
21 Savage & Metro Boomin,My Choppa Hate N****s,73,2017-11-25,73,2
Russell Dickerson,Yours,74,2017-11-25,74,4
Maren Morris,I Could Use A Love Song,75,2017-11-25,75,12
Eric Church,Round Here Buzz,76,2017-11-25,76,7
XXXTENTACION,Jocelyn Flores,31,2017-11-25,77,11
Chris Brown,Questions,78,2017-11-25,78,11
YBN Nahmir,Rubbin Off The Paint,,2017-11-25,79,
Zayn Featuring Sia,Dusk Till Dawn,44,2017-11-25,80,9
Post Malone,Candy Paint,81,2017-11-25,81,3
Sam Smith Featuring Logic,Pray,55,2017-11-25,82,2
XXXTENTACION Featuring Trippie Redd,fuck Love,41,2017-11-25,83,11
MAX Featuring gnash,Lights Down Low,84,2017-11-25,84,5
Taylor Swift,Gorgeous,13,2017-11-25,85,3
Kodak Black,Transportin',46,2017-11-25,86,12
Young Thug Featuring Future,Relationship,65,2017-11-25,87,12
Becky G Featuring Bad Bunny,Mayores,83,2017-11-25,88,3
Lil Uzi Vert,Sauce It Up,49,2017-11-25,89,11
Garth Brooks,Ask Me How I Know,90,2017-11-25,90,3
Florida Georgia Line,Smooth,89,2017-11-25,91,6
Chris Stapleton,Broken Halos,92,2017-11-25,92,2
Maroon 5,Wait,,2017-11-25,93,
Big Sean & Metro Boomin Featuring 21 Savage,Pull Up N Wreck,,2017-11-25,94,
Walker Hayes,You Broke Up With Me,91,2017-11-25,95,3
Post Malone,Go Flex,76,2017-11-25,96,8
Future & Young Thug Featuring Offset,Patek Water,50,2017-11-25,97,3
Macklemore Featuring Skylar Grey,Glorious,49,2017-11-25,98,18
"21 Savage, Offset & Metro Boomin",Mad Stalkers,,2017-11-25,99,
Offset & Metro Boomin,Nightmare,,2017-11-25,100,
Post Malone Featuring 21 Savage,Rockstar,1,2017-11-18,1,7
Cardi B,Bodak Yellow,1,2017-11-18,3,18
800,1,3,2017-11-18,4,27
Imagine Dragons,Thunder,5,2017-11-18,5,27
Portugal. The Man,Feel It Still,4,2017-11-18,6,20
Lil Pump,Gucci Gang,7,2017-11-18,7,8
Demi Lovato,Sorry Not Sorry,6,2017-11-18,8,17
J Balvin & Willy William Featuring Beyonce,Mi Gente,3,2017-11-18,9,18
Sam Smith,Too Good At Goodbyes,5,2017-11-18,10,8
Ed Sheeran,Perfect,10,2017-11-18,11,10
Maroon 5 Featuring SZA,What Lovers Do,12,2017-11-18,12,10
Yo Gotti Featuring Nicki Minaj,Rake It Up,8,2017-11-18,13,18
"Migos, Nicki Minaj & Cardi B",MotorSport,,2017-11-18,14,
Gucci Mane Featuring Migos,I Get The Bag,11,2017-11-18,15,11
21 Savage,Bank Account,12,2017-11-18,16,17
French Montana Featuring Swae Lee,Unforgettable,3,2017-11-18,17,30
Charlie Puth,Attention,5,2017-11-18,18,28
Taylor Swift,...Ready For It?,4,2017-11-18,19,9
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,1,2017-11-18,20,42
Imagine Dragons,Believer,4,2017-11-18,21,39
P!nk,What About Us,13,2017-11-18,22,13
Ed Sheeran,Shape Of You,1,2017-11-18,23,43
G,No Limit,24,2017-11-18,24,8
Khalid,Young Dumb & Broke,25,2017-11-18,25,16
Dua Lipa,New Rules,26,2017-11-18,26,14
Halsey,Bad At Love,27,2017-11-18,27,9
Liam Payne Featuring Quavo,Strip That Down,10,2017-11-18,28,24
Post Malone,I Fall Apart,28,2017-11-18,29,6
Shawn Mendes,There's Nothing Holdin' Me Back,6,2017-11-18,30,28
Kesha,Praying,22,2017-11-18,31,17
Niall Horan,Slow Hands,11,2017-11-18,32,27
Bruno Mars,That's What I Like,1,2017-11-18,33,42
Taylor Swift,Look What You Made Me Do,1,2017-11-18,34,11
Selena Gomez X Marshmello,Wolves,35,2017-11-18,35,2
Kane Brown Featuring Lauren Alaina,What Ifs,26,2017-11-18,36,21
Luke Combs,When It Rains It Pours,33,2017-11-18,37,14
DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts,2,2017-11-18,38,20
The Chainsmokers & Coldplay,Something Just Like This,3,2017-11-18,39,37
Post Malone Featuring Quavo,Congratulations,8,2017-11-18,40,45
Blackbear,Do Re Mi,40,2017-11-18,41,21
Kendrick Lamar,Humble.,1,2017-11-18,42,31
Lil Uzi Vert,XO TOUR Llif3,7,2017-11-18,43,32
SZA,The Weekend,44,2017-11-18,44,14
GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew,45,2017-11-18,45,19
Charlie Puth,How Long,46,2017-11-18,46,4
Kelly Clarkson,Love So Soft,47,2017-11-18,47,8
Khalid,Location,16,2017-11-18,48,43
Sam Hunt,Body Like A Back Road,6,2017-11-18,49,40
Marshmello Featuring Khalid,Silence,42,2017-11-18,50,12
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,51,2017-11-18,51,8
Thomas Rhett,Unforgettable,47,2017-11-18,52,14
LANCO,Greatest Love Story,51,2017-11-18,53,9
A$AP Ferg Featuring Nicki Minaj,Plain Jane,54,2017-11-18,54,6
Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,39,2017-11-18,55,10
Kodak Black Featuring XXXTENTACION,Roll In Peace,53,2017-11-18,56,11
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers,,2017-11-18,57,
Carly Pearce,Every Little Thing,50,2017-11-18,58,14
Tay,The Race,44,2017-11-18,59,13
Bebe Rexha & Florida Georgia Line,Meant To Be,60,2017-11-18,60,2
NF,Let You Down,61,2017-11-18,61,3
Luke Bryan,Light It Up,62,2017-11-18,62,10
Brett Young,Like I Loved You,63,2017-11-18,63,6
Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,64,2017-11-18,64,6
Blake Shelton,I'll Name The Dogs,65,2017-11-18,65,8
Miguel Featuring Travis Scott,Sky Walker,66,2017-11-18,66,6
Chris Janson,Fix A Drink,67,2017-11-18,67,10
Chris Young,Losing Sleep,63,2017-11-18,68,6
Taylor Swift,Gorgeous,13,2017-11-18,69,2
XXXTENTACION,Jocelyn Flores,31,2017-11-18,70,10
Offset & Metro Boomin,Ric Flair Drip,,2017-11-18,71,
Macklemore Featuring Kesha,Good Old Days,70,2017-11-18,72,2
Kodak Black,Transportin',46,2017-11-18,73,11
"21 Savage, Offset & Metro Boomin Featuring Quavo",Rap Saved Me,,2017-11-18,74,
Lil Uzi Vert,Sauce It Up,49,2017-11-18,75,10
Russell Dickerson,Yours,76,2017-11-18,76,3
Future & Young Thug Featuring Offset,Patek Water,50,2017-11-18,77,2
Zayn Featuring Sia,Dusk Till Dawn,44,2017-11-18,78,8
Chris Brown,Questions,79,2017-11-18,79,10
XXXTENTACION Featuring Trippie Redd,fuck Love,41,2017-11-18,80,10
Maren Morris,I Could Use A Love Song,81,2017-11-18,81,11
Eric Church,Round Here Buzz,82,2017-11-18,82,6
Becky G Featuring Bad Bunny,Mayores,83,2017-11-18,83,2
MAX Featuring gnash,Lights Down Low,84,2017-11-18,84,4
Post Malone,Candy Paint,84,2017-11-18,85,2
Post Malone,Go Flex,76,2017-11-18,86,7
Macklemore Featuring Skylar Grey,Glorious,49,2017-11-18,87,17
Young Thug Featuring Future,Relationship,65,2017-11-18,88,11
Florida Georgia Line,Smooth,89,2017-11-18,89,5
Garth Brooks,Ask Me How I Know,90,2017-11-18,90,2
Walker Hayes,You Broke Up With Me,91,2017-11-18,91,2
Jon Pardi,Heartache On The Dance Floor,47,2017-11-18,92,18
Jacquees,B.E.D.,69,2017-11-18,93,13
21 Savage & Metro Boomin,My Choppa Hate N****s,,2017-11-18,94,
Niall Horan,Too Much To Ask,66,2017-11-18,95,3
"Quavo, Takeoff & Offset",Too Hotty,91,2017-11-18,96,4
Kenny Chesney,All The Pretty Girls,63,2017-11-18,97,14
Devin Dawson,All On Me,,2017-11-18,98,
Kip Moore,More Girls Like You,66,2017-11-18,99,12
Chris Brown Featuring Future & Young Thug,High End,82,2017-11-18,100,2
Post Malone Featuring 21 Savage,Rockstar,1,2017-11-11,1,6
800,1,3,2017-11-11,3,26
Portugal. The Man,Feel It Still,4,2017-11-11,4,19
Imagine Dragons,Thunder,5,2017-11-11,5,26
Demi Lovato,Sorry Not Sorry,6,2017-11-11,6,16
Camila Cabello Featuring Young Thug,Havana,7,2017-11-11,7,11
J Balvin & Willy William Featuring Beyonce,Mi Gente,3,2017-11-11,8,17
Sam Smith,Too Good At Goodbyes,5,2017-11-11,9,7
Ed Sheeran,Perfect,10,2017-11-11,10,9
French Montana Featuring Swae Lee,Unforgettable,3,2017-11-11,11,29
Maroon 5 Featuring SZA,What Lovers Do,12,2017-11-11,12,9
Taylor Swift,Gorgeous,,2017-11-11,13,
